"id","chapter","name","scene","roundCount","spawnCount","distinctMonsterCount","maxRoundAttackMultiple","maxRoundHpMultiple","effectiveAttackLoad","effectiveHpLoad","difficultyProxy","homeHp","enemyHomeHp","enemyHomeGold","recommendedHeroes","monsters"
"1001","1","宁静森林","image/unpack/fightscene/fightscene_01","5","45","3","34013","42342","923.3419","3907.2741","1899.4078","500","4000","300","H01:仓鼠战士;H02:仓鼠射手","Boss03:精英僵僵猫x1;M02:云云猪x35;M03:僵僵猫x9"
"1002","2","密林深处","image/unpack/fightscene/fightscene_01","8","134","3","47717","64558","6773.3515","29099.6965","14039.3189","500","8390","330","H13:火炮齿轮;H01:仓鼠战士","Boss02:精英云云猪x1;M02:云云猪x88;M03:僵僵猫x45"
"1003","3","荒漠边缘","image/unpack/fightscene/fightscene_03","10","166","5","64366","91001","11117.0036","45892.6345","22587.3545","500","9350","360","H03:仓鼠法师;H04:仓鼠骑士","Boss02:精英云云猪x1;Boss07:精英鬼鬼羊x1;M02:云云猪x89;M03:僵僵猫x34;M07:鬼鬼羊x41"
"1004","4","荒漠沙地","image/unpack/fightscene/fightscene_03","15","321","6","118571","184750","37290.0561","176129.0486","81042.3476","500","10140","390","H03:仓鼠法师;H12:雷云齿轮","Boss02:精英云云猪x1;Boss03:精英僵僵猫x1;Boss07:精英鬼鬼羊x1;M02:云云猪x220;M03:僵僵猫x41;M07:鬼鬼羊x57"
"1005","5","雪山脚下","image/unpack/fightscene/fightscene_02","15","267","6","122792","191326","33671.1248","203027.6204","82681.1245","500","10960","420","H11:治疗齿轮;H02:仓鼠射手","Boss02:精英云云猪x1;Boss03:精英僵僵猫x1;Boss07:精英鬼鬼羊x1;M02:云云猪x174;M03:僵僵猫x56;M12:先锋狼x34"
"1006","6","无尽雪山","image/unpack/fightscene/fightscene_02","15","215","5","122792","191326","31687.4952","208235.0691","81230.83","500","11820","450","H05:仓鼠召唤师;H11:治疗齿轮;H12:雷云齿轮","Boss02:精英云云猪x2;Boss07:精英鬼鬼羊x1;M02:云云猪x150;M12:先锋狼x26;M13:爆爆虫x36"
"1007","7","青绿草原","image/unpack/fightscene/fightscene_01","15","218","4","122792","191326","32582.5424","227135.3376","86027.0119","500","12100","480","H05:仓鼠召唤师;H03:仓鼠法师","Boss11:精英海马狼x3;M11:海马狼x140;M12:先锋狼x35;M13:爆爆虫x40"
"1008","8","草原咆哮","image/unpack/fightscene/fightscene_01","15","291","5","126872","197684","47927.4766","246763.9442","108750.9685","500","12390","510","H14:鲨鱼齿轮;H12:雷云齿轮","Boss01:巨型莱莱姆x2;Boss03:精英僵僵猫x1;M01:莱莱姆x182;M03:僵僵猫x48;M13:爆爆虫x58"
"1009","9","初见火山","image/unpack/fightscene/fightscene_04","15","276","6","126872","197684","44794.2592","210907.2523","97197.9122","500","12690","540","H14:鲨鱼齿轮;H13:火炮齿轮","B02:惊乍怪x1;Boss01:巨型莱莱姆x1;Boss03:精英僵僵猫x1;M01:莱莱姆x160;M03:僵僵猫x69;M05:火火炉x44"
"1010","10","火山熔岩","image/unpack/fightscene/fightscene_04","15","290","6","126872","197684","49060.2557","237509.0315","107945.6058","500","13000","570","H06:仓鼠飞行员;H13:火炮齿轮","B01:大恶魔x1;Boss02:精英云云猪x1;Boss09:巨型恶魔犬x1;M02:云云猪x180;M05:火火炉x50;M09:恶魔犬x57"
"1011","11","宁静森林","image/unpack/fightscene/fightscene_01","15","249","6","130825","203844","46822.6153","286790.9097","115880.5438","500","13310","600","H06:仓鼠飞行员;H01:仓鼠战士","B03:冰岩国王x1;Boss02:精英云云猪x1;Boss09:巨型恶魔犬x1;M02:云云猪x103;M04:冰坨坨x52;M09:恶魔犬x91"
"1012","12","密林深处","image/unpack/fightscene/fightscene_01","15","249","6","130825","203844","48918.0514","301249.9247","121394.2309","500","13630","630","H01:仓鼠战士;H02:仓鼠射手","B01:大恶魔x1;Boss06:精英冰冰狗x1;Boss09:巨型恶魔犬x1;M04:冰坨坨x52;M06:冰冰狗x118;M09:恶魔犬x76"
"1013","13","荒漠边缘","image/unpack/fightscene/fightscene_03","15","249","6","130825","203844","47417.4272","264068.8695","111899.3583","500","13960","660","H16:仓鼠怪兽;H11:治疗齿轮","B03:冰岩国王x1;Boss07:精英鬼鬼羊x1;Boss14:巨型厄厄怪x1;M04:冰坨坨x52;M05:火火炉x118;M14:厄厄怪x76"
"1014","14","荒漠沙地","image/unpack/fightscene/fightscene_03","15","296","6","130825","203844","57686.4075","337079.9814","139445.0901","500","14300","690","H16:仓鼠怪兽;H01:仓鼠战士","B03:冰岩国王x1;Boss06:精英冰冰狗x1;Boss14:巨型厄厄怪x1;M06:冰冰狗x165;M12:先锋狼x30;M14:厄厄怪x98"
"1015","15","雪山脚下","image/unpack/fightscene/fightscene_02","15","226","6","130825","203844","45069.7922","467999.3703","145233.0348","500","14640","720","H16:仓鼠怪兽;H03:仓鼠法师","B03:冰岩国王x1;Boss07:精英鬼鬼羊x1;Boss14:巨型厄厄怪x1;M04:冰坨坨x71;M12:先锋狼x79;M13:爆爆虫x73"
"1016","16","无尽雪山","image/unpack/fightscene/fightscene_02","15","296","6","130825","203844","63966.6261","228997.0343","121029.6149","500","14920","750","H17:镭射齿轮;H06:仓鼠飞行员","Boss02:精英云云猪x1;Boss03:精英僵僵猫x1;Boss10:精英脏脏蛇x1;M02:云云猪x107;M03:僵僵猫x105;M10:脏脏蛇x81"
"1017","17","青绿草原","image/unpack/fightscene/fightscene_01","15","296","6","130825","203844","71075.0414","311236.2232","148731.7298","500","15210","780","H17:镭射齿轮;H04:仓鼠骑士","Boss01:巨型莱莱姆x1;Boss10:精英脏脏蛇x1;Boss11:精英海马狼x1;M01:莱莱姆x107;M10:脏脏蛇x81;M11:海马狼x105"
"1018","18","草原咆哮","image/unpack/fightscene/fightscene_01","15","296","5","130825","203844","59612.3503","450836.0817","163937.1784","500","15500","810","H17:镭射齿轮;H05:仓鼠召唤师","Boss10:精英脏脏蛇x1;Boss11:精英海马狼x2;M10:脏脏蛇x81;M11:海马狼x107;M12:先锋狼x105"
"1019","19","初见火山","image/unpack/fightscene/fightscene_04","15","321","6","130825","203844","81264.6204","351444.7584","168997.115","500","15800","840","H03:仓鼠法师;H12:雷云齿轮","Boss02:精英云云猪x1;Boss03:精英僵僵猫x1;Boss07:精英鬼鬼羊x1;M02:云云猪x220;M03:僵僵猫x41;M07:鬼鬼羊x57"
"1020","20","火山熔岩","image/unpack/fightscene/fightscene_04","15","267","6","130825","203844","67091.2629","371461.664","157866.5011","500","16110","870","H11:治疗齿轮;H02:仓鼠射手","Boss02:精英云云猪x1;Boss03:精英僵僵猫x1;Boss07:精英鬼鬼羊x1;M02:云云猪x174;M03:僵僵猫x56;M12:先锋狼x34"
"1021","21","宁静森林","image/unpack/fightscene/fightscene_01","15","276","5","130825","203844","75738.6057","446907.8166","183978.7349","500","16420","900","H05:仓鼠召唤师;H04:仓鼠骑士","Boss02:精英云云猪x2;Boss07:精英鬼鬼羊x1;M02:云云猪x193;M12:先锋狼x30;M13:爆爆虫x50"
"1022","22","密林深处","image/unpack/fightscene/fightscene_01","15","276","4","130825","203844","73157.0239","520755.9225","195184.4089","500","16730","930","H05:仓鼠召唤师;H03:仓鼠法师","Boss11:精英海马狼x3;M11:海马狼x139;M12:先锋狼x67;M13:爆爆虫x67"
"1023","23","荒漠边缘","image/unpack/fightscene/fightscene_03","15","291","5","130825","203844","86721.7611","411491.2259","188905.3832","500","17050","960","H14:鲨鱼齿轮;H12:雷云齿轮","Boss01:巨型莱莱姆x2;Boss03:精英僵僵猫x1;M01:莱莱姆x182;M03:僵僵猫x48;M13:爆爆虫x58"
"1024","24","荒漠沙地","image/unpack/fightscene/fightscene_03","15","276","6","130825","203844","87314.2322","410664.4122","189359.0447","500","17380","990","H14:鲨鱼齿轮;H13:火炮齿轮","B02:惊乍怪x1;Boss01:巨型莱莱姆x1;Boss03:精英僵僵猫x1;M01:莱莱姆x160;M03:僵僵猫x69;M05:火火炉x44"
"1025","25","雪山脚下","image/unpack/fightscene/fightscene_02","15","290","6","130825","203844","94933.0109","459146.8642","208777.8587","500","17720","1020","H06:仓鼠飞行员;H13:火炮齿轮","B01:大恶魔x1;Boss02:精英云云猪x1;Boss09:巨型恶魔犬x1;M02:云云猪x180;M05:火火炉x50;M09:恶魔犬x57"
"1026","26","无尽雪山","image/unpack/fightscene/fightscene_02","15","249","6","130825","203844","87952.2338","538711.9234","217671.5806","500","18060","1050","H06:仓鼠飞行员;H01:仓鼠战士","B03:冰岩国王x1;Boss02:精英云云猪x1;Boss09:巨型恶魔犬x1;M02:云云猪x103;M04:冰坨坨x52;M09:恶魔犬x91"
"1027","27","青绿草原","image/unpack/fightscene/fightscene_01","15","249","6","130825","203844","91205.6954","561668.0984","226334.5522","500","18400","1080","H01:仓鼠战士;H02:仓鼠射手","B01:大恶魔x1;Boss06:精英冰冰狗x1;Boss09:巨型恶魔犬x1;M04:冰坨坨x52;M06:冰冰狗x118;M09:恶魔犬x76"
"1028","28","草原咆哮","image/unpack/fightscene/fightscene_01","15","249","6","130825","203844","88364.9087","492106.4457","208530.4322","500","18760","1110","H16:仓鼠怪兽;H11:治疗齿轮","B03:冰岩国王x1;Boss07:精英鬼鬼羊x1;Boss14:巨型厄厄怪x1;M04:冰坨坨x52;M05:火火炉x118;M14:厄厄怪x76"
"1029","29","初见火山","image/unpack/fightscene/fightscene_04","15","296","6","130825","203844","106114.5517","633904.2882","259357.8018","500","19120","1140","H16:仓鼠怪兽;H01:仓鼠战士","B03:冰岩国王x1;Boss06:精英冰冰狗x1;Boss14:巨型厄厄怪x1;M06:冰冰狗x165;M12:先锋狼x32;M14:厄厄怪x96"
"1030","30","火山熔岩","image/unpack/fightscene/fightscene_04","15","226","6","130825","203844","88871.1771","865171.3631","277288.293","500","19490","1170","H16:仓鼠怪兽;H03:仓鼠法师","B03:冰岩国王x1;Boss07:精英鬼鬼羊x1;Boss14:巨型厄厄怪x1;M04:冰坨坨x71;M12:先锋狼x79;M13:爆爆虫x73"
"1031","31","宁静森林","image/unpack/fightscene/fightscene_01","15","296","6","130825","203844","113608.9003","416128.6955","217430.2727","500","19750","1200","H17:镭射齿轮;H06:仓鼠飞行员","Boss02:精英云云猪x1;Boss03:精英僵僵猫x1;Boss10:精英脏脏蛇x1;M02:云云猪x107;M03:僵僵猫x105;M10:脏脏蛇x81"
"1032","32","密林深处","image/unpack/fightscene/fightscene_01","15","296","6","130825","203844","125285.0152","561121.1374","265141.6041","500","20030","1230","H17:镭射齿轮;H04:仓鼠骑士","Boss01:巨型莱莱姆x1;Boss10:精英脏脏蛇x1;Boss11:精英海马狼x1;M01:莱莱姆x107;M10:脏脏蛇x81;M11:海马狼x105"
"1033","33","荒漠边缘","image/unpack/fightscene/fightscene_03","15","296","5","130825","203844","104290.8818","806431.321","290005.9199","500","20300","1260","H17:镭射齿轮;H05:仓鼠召唤师","Boss10:精英脏脏蛇x1;Boss11:精英海马狼x2;M10:脏脏蛇x81;M11:海马狼x107;M12:先锋狼x105"
"1034","34","荒漠沙地","image/unpack/fightscene/fightscene_03","15","321","6","130825","203844","141973.7032","627817.5308","298552.4741","500","20580","1290","H03:仓鼠法师;H12:雷云齿轮","Boss02:精英云云猪x1;Boss03:精英僵僵猫x1;Boss07:精英鬼鬼羊x1;M02:云云猪x220;M03:僵僵猫x41;M07:鬼鬼羊x57"
"1035","35","雪山脚下","image/unpack/fightscene/fightscene_02","15","267","6","130825","203844","115405.9039","652670.2376","274448.5357","500","20860","1320","H11:治疗齿轮;H02:仓鼠射手","Boss02:精英云云猪x1;Boss03:精英僵僵猫x1;Boss07:精英鬼鬼羊x1;M02:云云猪x174;M03:僵僵猫x56;M12:先锋狼x34"
"1036","36","无尽雪山","image/unpack/fightscene/fightscene_02","15","276","5","130825","203844","129315.5307","779207.6363","317432.9048","500","21150","1350","H05:仓鼠召唤师;H04:仓鼠骑士","Boss02:精英云云猪x2;Boss07:精英鬼鬼羊x1;M02:云云猪x193;M12:先锋狼x30;M13:爆爆虫x50"
"1037","37","青绿草原","image/unpack/fightscene/fightscene_01","15","276","4","130825","203844","123016.938","893353.7122","331508.1269","500","21440","1380","H05:仓鼠召唤师;H03:仓鼠法师","Boss11:精英海马狼x3;M11:海马狼x139;M12:先锋狼x67;M13:爆爆虫x67"
"1038","38","草原咆哮","image/unpack/fightscene/fightscene_01","15","291","5","130825","203844","145630.9018","749070.979","330284.5473","500","21730","1410","H14:鲨鱼齿轮;H12:雷云齿轮","Boss01:巨型莱莱姆x2;Boss03:精英僵僵猫x1;M01:莱莱姆x182;M03:僵僵猫x48;M13:爆爆虫x58"
