"id","category","round","spawnCount","distinctMonsterCount","atkMultiple","hpMultiple","sources","monsters"
"200001","daily_instance","1","8","3","35050","37063","DailyInstanceConfig:2001/宁静森林;DailyInstanceConfig:2003/荒漠边缘;DailyInstanceConfig:2004/荒漠沙地;DailyInstanceConfig:2009/初见火山;DailyInstanceConfig:2010/火山熔岩","M01:莱莱姆x4;M08:生气烛x1;M09:恶魔犬x3"
"200002","daily_instance","2","15","3","34172","37934","DailyInstanceConfig:2001/宁静森林;DailyInstanceConfig:2003/荒漠边缘;DailyInstanceConfig:2004/荒漠沙地;DailyInstanceConfig:2009/初见火山;DailyInstanceConfig:2010/火山熔岩","M01:莱莱姆x11;M08:生气烛x2;M09:恶魔犬x2"
"200003","daily_instance","3","17","3","44250","51268","DailyInstanceConfig:2001/宁静森林;DailyInstanceConfig:2003/荒漠边缘;DailyInstanceConfig:2004/荒漠沙地;DailyInstanceConfig:2009/初见火山;DailyInstanceConfig:2010/火山熔岩","M01:莱莱姆x12;M08:生气烛x3;M09:恶魔犬x2"
"200004","daily_instance","4","20","3","52453","63121","DailyInstanceConfig:2001/宁静森林;DailyInstanceConfig:2003/荒漠边缘;DailyInstanceConfig:2004/荒漠沙地;DailyInstanceConfig:2009/初见火山;DailyInstanceConfig:2010/火山熔岩","M01:莱莱姆x13;M08:生气烛x3;M09:恶魔犬x4"
"200005","daily_instance","5","22","4","61981","77160","DailyInstanceConfig:2001/宁静森林;DailyInstanceConfig:2003/荒漠边缘;DailyInstanceConfig:2004/荒漠沙地;DailyInstanceConfig:2009/初见火山;DailyInstanceConfig:2010/火山熔岩","Boss09:巨型恶魔犬x1;M01:莱莱姆x14;M08:生气烛x3;M09:恶魔犬x4"
"200006","daily_instance","6","24","3","63247","81175","DailyInstanceConfig:2001/宁静森林;DailyInstanceConfig:2003/荒漠边缘;DailyInstanceConfig:2004/荒漠沙地;DailyInstanceConfig:2009/初见火山;DailyInstanceConfig:2010/火山熔岩","M01:莱莱姆x17;M08:生气烛x4;M09:恶魔犬x3"
"200007","daily_instance","7","25","3","74329","98070","DailyInstanceConfig:2001/宁静森林;DailyInstanceConfig:2003/荒漠边缘;DailyInstanceConfig:2004/荒漠沙地;DailyInstanceConfig:2009/初见火山;DailyInstanceConfig:2010/火山熔岩","M01:莱莱姆x18;M08:生气烛x4;M09:恶魔犬x3"
"200008","daily_instance","8","26","3","87146","117903","DailyInstanceConfig:2001/宁静森林;DailyInstanceConfig:2003/荒漠边缘;DailyInstanceConfig:2004/荒漠沙地;DailyInstanceConfig:2009/初见火山;DailyInstanceConfig:2010/火山熔岩","M01:莱莱姆x19;M08:生气烛x4;M09:恶魔犬x3"
"200009","daily_instance","9","27","3","101947","141130","DailyInstanceConfig:2001/宁静森林;DailyInstanceConfig:2003/荒漠边缘;DailyInstanceConfig:2004/荒漠沙地;DailyInstanceConfig:2009/初见火山;DailyInstanceConfig:2010/火山熔岩","M01:莱莱姆x20;M08:生气烛x4;M09:恶魔犬x3"
"200010","daily_instance","10","28","4","119020","168270","DailyInstanceConfig:2001/宁静森林;DailyInstanceConfig:2003/荒漠边缘;DailyInstanceConfig:2004/荒漠沙地;DailyInstanceConfig:2009/初见火山;DailyInstanceConfig:2010/火山熔岩","B01:大恶魔x1;M01:莱莱姆x20;M08:生气烛x4;M09:恶魔犬x3"
"200101","daily_instance","1","8","3","35050","37063","DailyInstanceConfig:2002/密林深处;DailyInstanceConfig:2005/雪山脚下;DailyInstanceConfig:2006/无尽雪山;DailyInstanceConfig:2007/青绿草原;DailyInstanceConfig:2008/草原咆哮","M02:云云猪x4;M03:僵僵猫x1;M04:冰坨坨x3"
"200102","daily_instance","2","15","3","34172","37934","DailyInstanceConfig:2002/密林深处;DailyInstanceConfig:2005/雪山脚下;DailyInstanceConfig:2006/无尽雪山;DailyInstanceConfig:2007/青绿草原;DailyInstanceConfig:2008/草原咆哮","M02:云云猪x11;M03:僵僵猫x2;M04:冰坨坨x2"
"200103","daily_instance","3","17","3","44250","51268","DailyInstanceConfig:2002/密林深处;DailyInstanceConfig:2005/雪山脚下;DailyInstanceConfig:2006/无尽雪山;DailyInstanceConfig:2007/青绿草原;DailyInstanceConfig:2008/草原咆哮","M02:云云猪x12;M03:僵僵猫x3;M04:冰坨坨x2"
"200104","daily_instance","4","20","3","52453","63121","DailyInstanceConfig:2002/密林深处;DailyInstanceConfig:2005/雪山脚下;DailyInstanceConfig:2006/无尽雪山;DailyInstanceConfig:2007/青绿草原;DailyInstanceConfig:2008/草原咆哮","M02:云云猪x13;M03:僵僵猫x3;M04:冰坨坨x4"
"200105","daily_instance","5","22","4","61981","77160","DailyInstanceConfig:2002/密林深处;DailyInstanceConfig:2005/雪山脚下;DailyInstanceConfig:2006/无尽雪山;DailyInstanceConfig:2007/青绿草原;DailyInstanceConfig:2008/草原咆哮","Boss09:巨型恶魔犬x1;M02:云云猪x14;M03:僵僵猫x3;M04:冰坨坨x4"
"200106","daily_instance","6","24","3","63247","81175","DailyInstanceConfig:2002/密林深处;DailyInstanceConfig:2005/雪山脚下;DailyInstanceConfig:2006/无尽雪山;DailyInstanceConfig:2007/青绿草原;DailyInstanceConfig:2008/草原咆哮","M02:云云猪x17;M03:僵僵猫x4;M04:冰坨坨x3"
"200107","daily_instance","7","25","3","74329","98070","DailyInstanceConfig:2002/密林深处;DailyInstanceConfig:2005/雪山脚下;DailyInstanceConfig:2006/无尽雪山;DailyInstanceConfig:2007/青绿草原;DailyInstanceConfig:2008/草原咆哮","M02:云云猪x18;M03:僵僵猫x4;M04:冰坨坨x3"
"200108","daily_instance","8","26","3","87146","117903","DailyInstanceConfig:2002/密林深处;DailyInstanceConfig:2005/雪山脚下;DailyInstanceConfig:2006/无尽雪山;DailyInstanceConfig:2007/青绿草原;DailyInstanceConfig:2008/草原咆哮","M02:云云猪x19;M03:僵僵猫x4;M04:冰坨坨x3"
"200109","daily_instance","9","27","3","101947","141130","DailyInstanceConfig:2002/密林深处;DailyInstanceConfig:2005/雪山脚下;DailyInstanceConfig:2006/无尽雪山;DailyInstanceConfig:2007/青绿草原;DailyInstanceConfig:2008/草原咆哮","M02:云云猪x20;M03:僵僵猫x4;M04:冰坨坨x3"
"200110","daily_instance","10","28","4","119020","168270","DailyInstanceConfig:2002/密林深处;DailyInstanceConfig:2005/雪山脚下;DailyInstanceConfig:2006/无尽雪山;DailyInstanceConfig:2007/青绿草原;DailyInstanceConfig:2008/草原咆哮","B01:大恶魔x1;M02:云云猪x20;M03:僵僵猫x4;M04:冰坨坨x3"
"300001","extra_monster_buff","1","1","1","28619","30262","BagLikeAbilityEffectiveConfig:DI_DEBUFF_eff05/ADD_EXTRA_MONSTER","M12:先锋狼x1"
"300002","extra_monster_buff","2","2","1","28473","31607","BagLikeAbilityEffectiveConfig:DI_DEBUFF_eff05/ADD_EXTRA_MONSTER","M12:先锋狼x2"
"300003","extra_monster_buff","3","2","1","37625","43592","BagLikeAbilityEffectiveConfig:DI_DEBUFF_eff05/ADD_EXTRA_MONSTER","M12:先锋狼x2"
"300004","extra_monster_buff","4","2","1","45513","54770","BagLikeAbilityEffectiveConfig:DI_DEBUFF_eff05/ADD_EXTRA_MONSTER","M12:先锋狼x2"
"300005","extra_monster_buff","5","2","1","54882","68322","BagLikeAbilityEffectiveConfig:DI_DEBUFF_eff05/ADD_EXTRA_MONSTER","M12:先锋狼x2"
"300006","extra_monster_buff","6","3","1","57150","73350","BagLikeAbilityEffectiveConfig:DI_DEBUFF_eff05/ADD_EXTRA_MONSTER","M12:先锋狼x3"
"300007","extra_monster_buff","7","3","1","68540","90431","BagLikeAbilityEffectiveConfig:DI_DEBUFF_eff05/ADD_EXTRA_MONSTER","M12:先锋狼x3"
"300008","extra_monster_buff","8","3","1","82004","110946","BagLikeAbilityEffectiveConfig:DI_DEBUFF_eff05/ADD_EXTRA_MONSTER","M12:先锋狼x3"
"300009","extra_monster_buff","9","3","1","97896","135522","BagLikeAbilityEffectiveConfig:DI_DEBUFF_eff05/ADD_EXTRA_MONSTER","M12:先锋狼x3"
