"mode","sourceIds","progressLevel","progressLevelName","levelAttackMultiple","levelHpMultiple","roundCount","spawnCount","effectiveAttackLoad","effectiveHpLoad","difficultyProxy"
"daily_template_1","2001;2003;2004;2009;2010","1001","宁静森林","4000","4000","10","212","12291.2729","59730.7088","27095.2712"
"daily_template_1","2001;2003;2004;2009;2010","1040","火山熔岩","40640","40640","10","212","124879.3325","606864.0014","275289.9734"
"daily_template_1","2001;2003;2004;2009;2010","1080","火山熔岩","82290","82290","10","212","252862.2113","1228810.0068","557422.0611"
"daily_template_1","2001;2003;2004;2009;2010","1120","火山熔岩","133546","133546","10","212","410362.582","1994199.3094","904624.499"
"daily_template_1","2001;2003;2004;2009;2010","1160","火山熔岩","205989","200315","10","212","632966.7523","2991239.2333","1375992.5785"
"daily_template_1","2001;2003;2004;2009;2010","1200","火山熔岩","301012","293562","10","212","924955.158","4383666.5842","2013627.252"
"daily_template_2","2002;2005;2006;2007;2008","1001","宁静森林","4000","4000","10","212","12653.7675","69061.8118","29561.9781"
"daily_template_2","2002;2005;2006;2007;2008","1040","火山熔岩","40640","40640","10","212","128562.2776","701668.0075","300346.2026"
"daily_template_2","2002;2005;2006;2007;2008","1080","火山熔岩","82290","82290","10","212","260319.6315","1420774.1224","608157.7819"
"daily_template_2","2002;2005;2006;2007;2008","1120","火山熔岩","133546","133546","10","212","422465.008","2305732.1783","986960.5207"
"daily_template_2","2002;2005;2006;2007;2008","1160","火山熔岩","205989","200315","10","212","651634.2274","3458529.2057","1501231.1902"
"daily_template_2","2002;2005;2006;2007;2008","1200","火山熔岩","301012","293562","10","212","952233.9642","5068480.896","2196902.3503"
"endless","400001","1001","宁静森林","4000","4000","1","560","75624","260272","140295.4373"
"endless","400001","1040","火山熔岩","40640","40640","1","560","768339.84","2644363.52","1425401.9208"
"endless","400001","1080","火山熔岩","82290","82290","1","560","1555774.74","5354445.72","2886228.2005"
"endless","400001","1120","火山熔岩","133546","133546","1","560","2524820.676","8689571.128","4683973.8836"
"endless","400001","1160","火山熔岩","205989","200315","1","560","3894428.034","13034096.42","7124629.7039"
"endless","400001","1200","火山熔岩","301012","293562","1","560","5690932.872","19101492.216","10426183.9218"
