levelId,chapter,name,roundCount,scheduledSpawnCount,backgroundId,monsterIds,recommendedHeroIds,dataComplete,preparationReady,backgroundReady,enemiesReady,recommendationHeroesReady,missingEnemyModelIds,missingRecommendedHeroIds,blockers,runtimeReady,verifiedPlayable,status
1001,1,宁静森林,5,45,fightscene_01,Boss03;M02;M03,H01;H02,true,true,true,true,true,,,,true,true,verified-playable
1002,2,密林深处,8,134,fightscene_01,Boss02;M02;M03,H01;H13,true,true,true,true,true,,,,true,true,verified-playable
1003,3,荒漠边缘,10,166,fightscene_03,Boss02;Boss07;M02;M03;M07,H03;H04,true,true,true,true,true,,,,true,true,verified-playable
1004,4,荒漠沙地,15,321,fightscene_03,Boss02;Boss03;Boss07;M02;M03;M07,H03;H12,true,true,true,true,true,,,,true,true,verified-playable
1005,5,雪山脚下,15,267,fightscene_02,Boss02;Boss03;Boss07;M02;M03;M12,H02;H11,true,true,true,true,true,,,,true,true,verified-playable
1006,6,无尽雪山,15,215,fightscene_02,Boss02;Boss07;M02;M12;M13,H05;H11;H12,true,true,true,true,true,,,,true,true,verified-playable
1007,7,青绿草原,15,218,fightscene_01,Boss11;M11;M12;M13,H03;H05,true,true,true,true,true,,,,true,true,verified-playable
1008,8,草原咆哮,15,291,fightscene_01,Boss01;Boss03;M01;M03;M13,H12;H14,true,true,true,true,true,,,,true,true,verified-playable
1009,9,初见火山,15,276,fightscene_04,B02;Boss01;Boss03;M01;M03;M05,H13;H14,true,true,true,true,true,,,,true,true,verified-playable
1010,10,火山熔岩,15,290,fightscene_04,B01;Boss02;Boss09;M02;M05;M09,H06;H13,true,true,true,true,true,,,,true,true,verified-playable
1011,11,宁静森林,15,249,fightscene_01,B03;Boss02;Boss09;M02;M04;M09,H01;H06,true,true,true,true,true,,,,true,true,verified-playable
1012,12,密林深处,15,249,fightscene_01,B01;Boss06;Boss09;M04;M06;M09,H01;H02,true,true,true,true,true,,,,true,true,verified-playable
1013,13,荒漠边缘,15,249,fightscene_03,B03;Boss07;Boss14;M04;M05;M14,H11;H16,true,true,true,true,true,,,,true,true,verified-playable
1014,14,荒漠沙地,15,296,fightscene_03,B03;Boss06;Boss14;M06;M12;M14,H01;H16,true,true,true,true,true,,,,true,true,verified-playable
1015,15,雪山脚下,15,226,fightscene_02,B03;Boss07;Boss14;M04;M12;M13,H03;H16,true,true,true,true,true,,,,true,true,verified-playable
1016,16,无尽雪山,15,296,fightscene_02,Boss02;Boss03;Boss10;M02;M03;M10,H06;H17,true,true,true,true,true,,,,true,true,verified-playable
1017,17,青绿草原,15,296,fightscene_01,Boss01;Boss10;Boss11;M01;M10;M11,H04;H17,true,true,true,true,true,,,,true,true,verified-playable
1018,18,草原咆哮,15,296,fightscene_01,Boss10;Boss11;M10;M11;M12,H05;H17,true,true,true,true,true,,,,true,true,verified-playable
1019,19,初见火山,15,321,fightscene_04,Boss02;Boss03;Boss07;M02;M03;M07,H03;H12,true,true,true,true,true,,,,true,true,verified-playable
1020,20,火山熔岩,15,267,fightscene_04,Boss02;Boss03;Boss07;M02;M03;M12,H02;H11,true,true,true,true,true,,,,true,true,verified-playable
1021,21,宁静森林,15,276,fightscene_01,Boss02;Boss07;M02;M12;M13,H04;H05,true,true,true,true,true,,,,true,true,verified-playable
1022,22,密林深处,15,276,fightscene_01,Boss11;M11;M12;M13,H03;H05,true,true,true,true,true,,,,true,true,verified-playable
1023,23,荒漠边缘,15,291,fightscene_03,Boss01;Boss03;M01;M03;M13,H12;H14,true,true,true,true,true,,,,true,true,verified-playable
1024,24,荒漠沙地,15,276,fightscene_03,B02;Boss01;Boss03;M01;M03;M05,H13;H14,true,true,true,true,true,,,,true,true,verified-playable
1025,25,雪山脚下,15,290,fightscene_02,B01;Boss02;Boss09;M02;M05;M09,H06;H13,true,true,true,true,true,,,,true,true,verified-playable
1026,26,无尽雪山,15,249,fightscene_02,B03;Boss02;Boss09;M02;M04;M09,H01;H06,true,true,true,true,true,,,,true,true,verified-playable
1027,27,青绿草原,15,249,fightscene_01,B01;Boss06;Boss09;M04;M06;M09,H01;H02,true,true,true,true,true,,,,true,true,verified-playable
1028,28,草原咆哮,15,249,fightscene_01,B03;Boss07;Boss14;M04;M05;M14,H11;H16,true,true,true,true,true,,,,true,true,verified-playable
1029,29,初见火山,15,296,fightscene_04,B03;Boss06;Boss14;M06;M12;M14,H01;H16,true,true,true,true,true,,,,true,true,verified-playable
1030,30,火山熔岩,15,226,fightscene_04,B03;Boss07;Boss14;M04;M12;M13,H03;H16,true,true,true,true,true,,,,true,true,verified-playable
1031,31,宁静森林,15,296,fightscene_01,Boss02;Boss03;Boss10;M02;M03;M10,H06;H17,true,true,true,true,true,,,,true,true,verified-playable
1032,32,密林深处,15,296,fightscene_01,Boss01;Boss10;Boss11;M01;M10;M11,H04;H17,true,true,true,true,true,,,,true,true,verified-playable
1033,33,荒漠边缘,15,296,fightscene_03,Boss10;Boss11;M10;M11;M12,H05;H17,true,true,true,true,true,,,,true,true,verified-playable
1034,34,荒漠沙地,15,321,fightscene_03,Boss02;Boss03;Boss07;M02;M03;M07,H03;H12,true,true,true,true,true,,,,true,true,verified-playable
1035,35,雪山脚下,15,267,fightscene_02,Boss02;Boss03;Boss07;M02;M03;M12,H02;H11,true,true,true,true,true,,,,true,true,verified-playable
1036,36,无尽雪山,15,276,fightscene_02,Boss02;Boss07;M02;M12;M13,H04;H05,true,true,true,true,true,,,,true,true,verified-playable
1037,37,青绿草原,15,276,fightscene_01,Boss11;M11;M12;M13,H03;H05,true,true,true,true,true,,,,true,true,verified-playable
1038,38,草原咆哮,15,291,fightscene_01,Boss01;Boss03;M01;M03;M13,H12;H14,true,true,true,true,true,,,,true,true,verified-playable
1039,39,初见火山,15,276,fightscene_04,B02;Boss01;Boss03;M01;M03;M05,H13;H14,true,true,true,true,true,,,,true,true,verified-playable
1040,40,火山熔岩,15,290,fightscene_04,B01;Boss02;Boss09;M02;M05;M09,H06;H13,true,true,true,true,true,,,,true,true,verified-playable
1041,41,宁静森林,15,249,fightscene_01,B03;Boss02;Boss09;M02;M04;M09,H01;H06,true,true,true,true,true,,,,true,true,verified-playable
1042,42,密林深处,15,249,fightscene_01,B01;Boss06;Boss09;M04;M06;M09,H01;H02,true,true,true,true,true,,,,true,true,verified-playable
1043,43,荒漠边缘,15,249,fightscene_03,B03;Boss07;Boss14;M04;M05;M14,H11;H16,true,true,true,true,true,,,,true,true,verified-playable
1044,44,荒漠沙地,15,296,fightscene_03,B03;Boss06;Boss14;M06;M12;M14,H01;H16,true,true,true,true,true,,,,true,true,verified-playable
1045,45,雪山脚下,15,226,fightscene_02,B03;Boss07;Boss14;M04;M12;M13,H03;H16,true,true,true,true,true,,,,true,true,verified-playable
1046,46,无尽雪山,15,296,fightscene_02,Boss02;Boss03;Boss10;M02;M03;M10,H06;H17,true,true,true,true,true,,,,true,true,verified-playable
1047,47,青绿草原,15,296,fightscene_01,Boss01;Boss10;Boss11;M01;M10;M11,H04;H17,true,true,true,true,true,,,,true,true,verified-playable
1048,48,草原咆哮,15,296,fightscene_01,Boss10;Boss11;M10;M11;M12,H05;H17,true,true,true,true,true,,,,true,true,verified-playable
1049,49,初见火山,15,321,fightscene_04,Boss02;Boss03;Boss07;M02;M03;M07,H03;H12,true,true,true,true,true,,,,true,true,verified-playable
1050,50,火山熔岩,15,267,fightscene_04,Boss02;Boss03;Boss07;M02;M03;M12,H02;H11,true,true,true,true,true,,,,true,true,verified-playable
1051,51,宁静森林,15,276,fightscene_01,Boss02;Boss07;M02;M12;M13,H04;H05,true,true,true,true,true,,,,true,true,verified-playable
1052,52,密林深处,15,276,fightscene_01,Boss11;M11;M12;M13,H03;H05,true,true,true,true,true,,,,true,true,verified-playable
1053,53,荒漠边缘,15,291,fightscene_03,Boss01;Boss03;M01;M03;M13,H12;H14,true,true,true,true,true,,,,true,true,verified-playable
1054,54,荒漠沙地,15,276,fightscene_03,B02;Boss01;Boss03;M01;M03;M05,H13;H14,true,true,true,true,true,,,,true,true,verified-playable
1055,55,雪山脚下,15,290,fightscene_02,B01;Boss02;Boss09;M02;M05;M09,H06;H13,true,true,true,true,true,,,,true,true,verified-playable
1056,56,无尽雪山,15,249,fightscene_02,B03;Boss02;Boss09;M02;M04;M09,H01;H06,true,true,true,true,true,,,,true,true,verified-playable
1057,57,青绿草原,15,249,fightscene_01,B01;Boss06;Boss09;M04;M06;M09,H01;H02,true,true,true,true,true,,,,true,true,verified-playable
1058,58,草原咆哮,15,249,fightscene_01,B03;Boss07;Boss14;M04;M05;M14,H11;H16,true,true,true,true,true,,,,true,true,verified-playable
1059,59,初见火山,15,296,fightscene_04,B03;Boss06;Boss14;M06;M12;M14,H01;H16,true,true,true,true,true,,,,true,true,verified-playable
1060,60,火山熔岩,15,226,fightscene_04,B03;Boss07;Boss14;M04;M12;M13,H03;H16,true,true,true,true,true,,,,true,true,verified-playable
1061,61,宁静森林,15,296,fightscene_01,Boss02;Boss03;Boss10;M02;M03;M10,H06;H17,true,true,true,true,true,,,,true,true,verified-playable
1062,62,密林深处,15,296,fightscene_01,Boss01;Boss10;Boss11;M01;M10;M11,H04;H17,true,true,true,true,true,,,,true,true,verified-playable
1063,63,荒漠边缘,15,296,fightscene_03,Boss10;Boss11;M10;M11;M12,H05;H17,true,true,true,true,true,,,,true,true,verified-playable
1064,64,荒漠沙地,15,321,fightscene_03,Boss02;Boss03;Boss07;M02;M03;M07,H03;H12,true,true,true,true,true,,,,true,true,verified-playable
1065,65,雪山脚下,15,267,fightscene_02,Boss02;Boss03;Boss07;M02;M03;M12,H02;H11,true,true,true,true,true,,,,true,true,verified-playable
1066,66,无尽雪山,15,276,fightscene_02,Boss02;Boss07;M02;M12;M13,H04;H05,true,true,true,true,true,,,,true,true,verified-playable
1067,67,青绿草原,15,276,fightscene_01,Boss11;M11;M12;M13,H03;H05,true,true,true,true,true,,,,true,true,verified-playable
1068,68,草原咆哮,15,291,fightscene_01,Boss01;Boss03;M01;M03;M13,H12;H14,true,true,true,true,true,,,,true,true,verified-playable
1069,69,初见火山,15,276,fightscene_04,B02;Boss01;Boss03;M01;M03;M05,H13;H14,true,true,true,true,true,,,,true,true,verified-playable
1070,70,火山熔岩,15,290,fightscene_04,B01;Boss02;Boss09;M02;M05;M09,H06;H13,true,true,true,true,true,,,,true,true,verified-playable
1071,71,宁静森林,15,249,fightscene_01,B03;Boss02;Boss09;M02;M04;M09,H01;H06,true,true,true,true,true,,,,true,true,verified-playable
1072,72,密林深处,15,249,fightscene_01,B01;Boss06;Boss09;M04;M06;M09,H01;H02,true,true,true,true,true,,,,true,true,verified-playable
1073,73,荒漠边缘,15,249,fightscene_03,B03;Boss07;Boss14;M04;M05;M14,H11;H16,true,true,true,true,true,,,,true,true,verified-playable
1074,74,荒漠沙地,15,296,fightscene_03,B03;Boss06;Boss14;M06;M12;M14,H01;H16,true,true,true,true,true,,,,true,true,verified-playable
1075,75,雪山脚下,15,226,fightscene_02,B03;Boss07;Boss14;M04;M12;M13,H03;H16,true,true,true,true,true,,,,true,true,verified-playable
1076,76,无尽雪山,15,296,fightscene_02,Boss02;Boss03;Boss10;M02;M03;M10,H06;H17,true,true,true,true,true,,,,true,true,verified-playable
1077,77,青绿草原,15,296,fightscene_01,Boss01;Boss10;Boss11;M01;M10;M11,H04;H17,true,true,true,true,true,,,,true,true,verified-playable
1078,78,草原咆哮,15,296,fightscene_01,Boss10;Boss11;M10;M11;M12,H05;H17,true,true,true,true,true,,,,true,true,verified-playable
1079,79,初见火山,15,321,fightscene_04,Boss02;Boss03;Boss07;M02;M03;M07,H03;H12,true,true,true,true,true,,,,true,true,verified-playable
1080,80,火山熔岩,15,267,fightscene_04,Boss02;Boss03;Boss07;M02;M03;M12,H02;H11,true,true,true,true,true,,,,true,true,verified-playable
1081,81,宁静森林,15,276,fightscene_01,Boss02;Boss07;M02;M12;M13,H04;H05,true,true,true,true,true,,,,true,true,verified-playable
1082,82,密林深处,15,276,fightscene_01,Boss11;M11;M12;M13,H03;H05,true,true,true,true,true,,,,true,true,verified-playable
1083,83,荒漠边缘,15,291,fightscene_03,Boss01;Boss03;M01;M03;M13,H12;H14,true,true,true,true,true,,,,true,true,verified-playable
1084,84,荒漠沙地,15,276,fightscene_03,B02;Boss01;Boss03;M01;M03;M05,H13;H14,true,true,true,true,true,,,,true,true,verified-playable
1085,85,雪山脚下,15,290,fightscene_02,B01;Boss02;Boss09;M02;M05;M09,H06;H13,true,true,true,true,true,,,,true,true,verified-playable
